id_correlativo,codigo_vendedor,codigo_producto,razon
6132.0,AP,,venta no encontrada
6145.0,AP,,venta no encontrada
6153.0,AP,,venta no encontrada
6178.0,AP,,venta no encontrada
6156.0,AP,,venta no encontrada
6216.0,AP,,venta no encontrada
6223.0,AP,,venta no encontrada
6221.0,AP,,venta no encontrada
6227.0,AP,,venta no encontrada
6235.0,AP,,venta no encontrada
6255.0,AP,,venta no encontrada
6262.0,AP,,venta no encontrada
6168.0,AP,,venta no encontrada
6293.0,AP,,venta no encontrada
6310.0,AP,,venta no encontrada
6337.0,AP,,venta no encontrada
6347.0,AP,,venta no encontrada
6359.0,AP,,venta no encontrada
6389.0,AP,,venta no encontrada
6397.0,AP,,venta no encontrada
6404.0,AP,,venta no encontrada
6410.0,AP,,venta no encontrada
6418.0,AP,,venta no encontrada
6426.0,AP,,venta no encontrada
6463.0,AP,,venta no encontrada
6465.0,AP,,venta no encontrada
6485.0,AP,,venta no encontrada
6501.0,AP,,venta no encontrada
6512.0,AP,,venta no encontrada
6529.0,AP,,venta no encontrada
6494.0,AP,,venta no encontrada
6543.0,AP,,venta no encontrada
6598.0,AP,,venta no encontrada
6581.0,AP,,venta no encontrada
6628.0,AP,,venta no encontrada
6641.0,AP,,venta no encontrada
6636.0,AP,,venta no encontrada
6665.0,AP,,venta no encontrada
6707.0,AP,,venta no encontrada
6745.0,AP,,venta no encontrada
6761.0,AP,,venta no encontrada
6776.0,AP,,venta no encontrada
6752.0,AP,,venta no encontrada
6786.0,AP,,venta no encontrada
6736.0,AP,,venta no encontrada
6758.0,AP,,venta no encontrada
6852.0,AP,,venta no encontrada
6916.0,AP,,venta no encontrada
6919.0,AP,,venta no encontrada
6677.0,AP,,venta no encontrada
6679.0,AP,,venta no encontrada
6795.0,AP,,venta no encontrada
6982.0,AP,,venta no encontrada
7048.0,AP,,venta no encontrada
7057.0,AP,,venta no encontrada
7075.0,AP,,venta no encontrada
7083.0,AP,,venta no encontrada
7098.0,AP,,venta no encontrada
7203.0,AP,,venta no encontrada
7220.0,AP,,venta no encontrada
7225.0,AP,,venta no encontrada
7225.0,AP,,venta no encontrada
7239.0,AP,,venta no encontrada
7258.0,AP,,venta no encontrada
7268.0,AP,,venta no encontrada
7292.0,AP,,venta no encontrada
7326.0,AP,,venta no encontrada
7362.0,AP,,venta no encontrada
7370.0,AP,,venta no encontrada
7371.0,AP,,venta no encontrada
7380.0,AP,,venta no encontrada
7402.0,AP,,venta no encontrada
7417.0,AP,,venta no encontrada
7422.0,AP,,venta no encontrada
7423.0,AP,,venta no encontrada
7427.0,AP,,venta no encontrada
7444.0,AP,,venta no encontrada
7521.0,AP,,venta no encontrada
7524.0,AP,,venta no encontrada
7523.0,AP,,venta no encontrada
7528.0,AP,,venta no encontrada
7513.0,AP,,venta no encontrada
7631.0,AP,,venta no encontrada
7653.0,AP,,venta no encontrada
7705.0,AP,,venta no encontrada
7209.0,AP,,venta no encontrada
7209.0,AP,,venta no encontrada
7209.0,AP,,venta no encontrada
7209.0,AP,,venta no encontrada
7209.0,AP,,venta no encontrada
7209.0,AP,,venta no encontrada
